iso_o,input_ind,output_ind,valueshare
CHN,31,1,.0045399009
EU,31,1,.0011283001
IND,31,1,.00022446275
JPN,31,1,.0048237992
ROW,31,1,.00064770016
USA,31,1,.000093799965
BRA,32,1,.000097496675
CHN,32,1,.006160859
EU,32,1,.0017373002
IND,32,1,.0012688894
JPN,32,1,.0021811996
ROW,32,1,.0029715006
USA,32,1,.0020387992
BRA,33,1,.00056588073
CHN,33,1,.000083392675
EU,33,1,.0015917002
IND,33,1,.0014932522
JPN,33,1,.0014018996
ROW,33,1,.00066410017
USA,33,1,.0011142996
BRA,34,1,.000090196925
CHN,34,1,.0024159877
EU,34,1,.0031458004
IND,34,1,.0012086994
JPN,34,1,.00079439982
ROW,34,1,.0023381005
USA,34,1,.0026349991
BRA,35,1,.00033378863
CHN,35,1,.00097471435
EU,35,1,.0029340005
IND,35,1,.000051691422
JPN,35,1,.0035430992
ROW,35,1,.00067920017
USA,35,1,.0018178993
BRA,36,1,.04314043
CHN,36,1,.025600251
EU,36,1,.044062704
IND,36,1,.076058581
JPN,36,1,.013454097
ROW,36,1,.031504307
USA,36,1,.017020695
BRA,37,1,.00011259616
CHN,37,1,.000049995608
EU,37,1,.0055544004
IND,37,1,.000049991704
JPN,37,1,.0021126994
ROW,37,1,.0033637006
USA,37,1,.02532579
BRA,38,1,.0095661739
CHN,38,1,.012654488
EU,38,1,.031232204
IND,38,1,.00054670923
JPN,38,1,.004181799
ROW,38,1,.014011604
USA,38,1,.010343497
BRA,39,1,.0016876425
CHN,39,1,.004830176
EU,39,1,.031804703
IND,39,1,.0063125528
JPN,39,1,.0071270983
ROW,39,1,.0068601021
USA,39,1,.012873296
BRA,40,1,.0020404304
CHN,40,1,.00081552833
EU,40,1,.0048198006
IND,40,1,.000049991704
JPN,40,1,.0021723995
ROW,40,1,.0021273005
USA,40,1,.014003196
BRA,41,1,.0001936934
CHN,41,1,.00030977279
EU,41,1,.0011916001
IND,41,1,.0012159982
JPN,41,1,.00037499992
ROW,41,1,.00073420018
USA,41,1,.00031929987
BRA,42,1,.00030288968
CHN,42,1,.00026677657
EU,42,1,.0028988002
IND,42,1,.000049991704
JPN,42,1,.00065479981
ROW,42,1,.0018848005
USA,42,1,.0010132997
BRA,43,1,.00010479643
CHN,43,1,.00026127705
EU,43,1,.00086750014
IND,43,1,.000081786427
JPN,43,1,.0004269999
ROW,43,1,.00030290007
USA,43,1,.00057879975
BRA,44,1,.0010714635
CHN,44,1,.0033591047
EU,44,1,.0030312005
IND,44,1,.000049991704
JPN,44,1,.0081941979
ROW,44,1,.0017103005
USA,44,1,.00081429968
BRA,1,2,.08733692
CHN,1,2,.14470303
EU,1,2,.020931201
IND,1,2,.30055127
JPN,1,2,.0022185275
ROW,1,2,.037767883
USA,1,2,.0045319996
BRA,2,2,.15783374
CHN,2,2,.16107564
EU,2,2,.10432792
IND,2,2,.14698672
JPN,2,2,.074875459
ROW,2,2,.22713423
USA,2,2,.11665498
BRA,3,2,.00064640015
CHN,3,2,.00082269445
EU,3,2,.0010056001
IND,3,2,.00021211663
JPN,3,2,.00020769321
ROW,3,2,.0070440979
USA,3,2,.0036090994
BRA,4,2,.0020636008
CHN,4,2,.000049993585
EU,4,2,.0059989011
IND,4,2,.087122254
JPN,4,2,.000049998365
ROW,4,2,.0044125984
USA,4,2,.00006369999
BRA,5,2,.00070760021
CHN,5,2,.000049993585
EU,5,2,.0018227003
IND,5,2,.012674319
JPN,5,2,.00023359238
ROW,5,2,.002608099
USA,5,2,.000059499991
BRA,6,2,.13945605
CHN,6,2,.25964779
EU,6,2,.10739011
IND,6,2,.017265014
JPN,6,2,.14510275
ROW,6,2,.17313944
USA,6,2,.0031776996
BRA,7,2,.0017680005
CHN,7,2,.0003789514
EU,7,2,.017668901
IND,7,2,.011802561
JPN,7,2,.024777591
ROW,7,2,.019040592
USA,7,2,.0063900989
BRA,8,2,.0046459013
CHN,8,2,.00011968465
EU,8,2,.0079856012
IND,8,2,.004925664
JPN,8,2,.0034836861
ROW,8,2,.0035879987
USA,8,2,.016339598
BRA,9,2,.0037675011
CHN,9,2,.0013337289
EU,9,2,.0050059003
IND,9,2,.0041064862
JPN,9,2,.0055826176
ROW,9,2,.0042429985
USA,9,2,.00020199997
BRA,10,2,.076970622
CHN,10,2,.036354236
EU,10,2,.055655207
IND,10,2,.012694511
JPN,10,2,.068344668
ROW,10,2,.12692386
USA,10,2,.09246169
BRA,11,2,.046068713
CHN,11,2,.013703543
EU,11,2,.031643406
IND,11,2,.010473183
JPN,11,2,.010220466
ROW,11,2,.010488897
USA,11,2,.00062819995
BRA,12,2,.0026723007
CHN,12,2,.018957768
EU,12,2,.0045592003
IND,12,2,.0073656049
JPN,12,2,.0025496166
ROW,12,2,.0032525989
USA,12,2,.00013689998
BRA,13,2,.0064117019
CHN,13,2,.0039986875
EU,13,2,.010581301
IND,13,2,.0037744166
JPN,13,2,.029760627
ROW,13,2,.0095227966
USA,13,2,.00026979996
BRA,14,2,.010464603
CHN,14,2,.0043243454
EU,14,2,.0069723008
IND,14,2,.0037233366
JPN,14,2,.00066777819
ROW,14,2,.0013088995
USA,14,2,.0025743998
BRA,15,2,.003429601
CHN,15,2,.0017886705
EU,15,2,.0033129004
IND,15,2,.010193993
JPN,15,2,.0031428973
ROW,15,2,.0021639992
USA,15,2,.00059769995
BRA,16,2,.0072112023
CHN,16,2,.0019514497
EU,16,2,.013358602
IND,16,2,.030974425
JPN,16,2,.0054142228
ROW,16,2,.0067108977
USA,16,2,.016563797
BRA,17,2,.00034940013
CHN,17,2,.0015335033
EU,17,2,.0052176006
IND,17,2,.0038833737
JPN,17,2,.0028628064
ROW,17,2,.002700899
USA,17,2,.00069319992
BRA,18,2,.0012436004
CHN,18,2,.00092118181
EU,18,2,.0052175005
IND,18,2,.0030220123
JPN,18,2,.002570116
ROW,18,2,.0034035989
USA,18,2,.00036039998
BRA,19,2,.0016977005
CHN,19,2,.055078637
EU,19,2,.019995103
IND,19,2,.0064238752
JPN,19,2,.0019568361
ROW,19,2,.011161696
USA,19,2,.00047969993
BRA,20,2,.0019865008
CHN,20,2,.0085086087
EU,20,2,.0038039004
IND,20,2,.0011940307
JPN,20,2,.0013854547
ROW,20,2,.0027637992
USA,20,2,.015578998
BRA,21,2,.0002688001
CHN,21,2,.015532408
EU,21,2,.018780002
IND,21,2,.0021255645
JPN,21,2,.046324987
ROW,21,2,.018670093
USA,21,2,.013556998
BRA,22,2,.013262603
CHN,22,2,.0051408405
EU,22,2,.028690103
IND,22,2,.026000382
JPN,22,2,.025703261
ROW,22,2,.013207896
USA,22,2,.00045319993
BRA,23,2,.05964582
CHN,23,2,.015757579
EU,23,2,.027451703
IND,23,2,.000049980354
JPN,23,2,.012785483
ROW,23,2,.013271895
USA,23,2,.0086172987
BRA,24,2,.00015970004
CHN,24,2,.0047134957
EU,24,2,.011624201
IND,24,2,.0015820782
JPN,24,2,.0012638586
ROW,24,2,.0020404994
USA,24,2,.00045869994
BRA,25,2,.0016064005
CHN,25,2,.00051763357
EU,25,2,.013969902
IND,25,2,.00019222444
JPN,25,2,.00489834
ROW,25,2,.0077044973
USA,25,2,.0038661996
BRA,26,2,.15657644
CHN,26,2,.067288473
EU,26,2,.18528341
IND,26,2,.18076825
JPN,26,2,.20859049
ROW,26,2,.12687756
USA,26,2,.090953089
BRA,27,2,.06372752
CHN,27,2,.044663969
EU,27,2,.042874902
IND,27,2,.083497383
JPN,27,2,.10696731
ROW,27,2,.029853489
USA,27,2,.025677197
BRA,28,2,.0033485009
CHN,28,2,.012775162
EU,28,2,.021213902
IND,28,2,.0026108739
JPN,28,2,.031320676
ROW,28,2,.010956896
USA,28,2,.0025150997
BRA,29,2,.0020410006
CHN,29,2,.0037537185
EU,29,2,.0075075007
IND,29,2,.00183198
JPN,29,2,.0057119131
ROW,29,2,.0042051985
USA,29,2,.0017310998
BRA,30,2,.022797607
CHN,30,2,.0051482399
EU,30,2,.032936804
IND,30,2,.017785009
JPN,30,2,.057709213
ROW,30,2,.016192093
USA,30,2,.088273995
BRA,31,2,.00018260005
CHN,31,2,.008450916
EU,31,2,.0015054003
IND,31,2,.000049980354
JPN,31,2,.015052708
ROW,31,2,.00073189975
USA,31,2,.000067099994
BRA,32,2,.00068880024
CHN,32,2,.0063196891
EU,32,2,.0031873004
IND,32,2,.000049980354
JPN,32,2,.02481989
ROW,32,2,.0045130984
USA,32,2,.0016714998
BRA,33,2,.00080270023
CHN,33,2,.000049993585
EU,33,2,.0020427003
IND,33,2,.0021682479
JPN,33,2,.0038586741
ROW,33,2,.0011131996
USA,33,2,.00036789995
BRA,34,2,.00091780029
CHN,34,2,.0029886167
EU,34,2,.007006601
IND,34,2,.000049980354
JPN,34,2,.0038168754
ROW,34,2,.002785099
USA,34,2,.00018199999
BRA,35,2,.00044660014
CHN,35,2,.000056592744
EU,35,2,.0056002005
IND,35,2,.000049980354
JPN,35,2,.0035647836
ROW,35,2,.0011039997
USA,35,2,.00067469996
BRA,36,2,.079320222
CHN,36,2,.065110251
EU,36,2,.062579609
IND,36,2,.001416943
JPN,36,2,.022283873
ROW,36,2,.032674089
USA,36,2,.44354624
BRA,37,2,.0013793005
CHN,37,2,.000049993585
EU,37,2,.0033320005
IND,37,2,.000049980354
JPN,37,2,.0029235044
ROW,37,2,.0026595991
USA,37,2,.0010817999
BRA,38,2,.019082306
CHN,38,2,.010617739
EU,38,2,.034756605
IND,38,2,.000052079533
JPN,38,2,.008818212
ROW,38,2,.018981192
USA,38,2,.0047967997
BRA,39,2,.0098059028
CHN,39,2,.0101354
EU,39,2,.023110101
IND,39,2,.000049980354
JPN,39,2,.013565057
ROW,39,2,.023854591
USA,39,2,.0020277998
BRA,40,2,.002797401
CHN,40,2,.00087148824
EU,40,2,.0064730011
IND,40,2,.000049980354
JPN,40,2,.00037648767
ROW,40,2,.0029016992
USA,40,2,.026385397
BRA,41,2,.00023460007
CHN,41,2,.00028316368
EU,41,2,.0018137002
IND,41,2,.000049980354
JPN,41,2,.00034878863
ROW,41,2,.00068169978
USA,41,2,.0010522999
BRA,42,2,.00033730009
CHN,42,2,.00005059351
EU,42,2,.0026043002
IND,42,2,.000049980354
JPN,42,2,.0020717322
ROW,42,2,.0016474994
USA,42,2,.00038519994
BRA,43,2,.00028150008
CHN,43,2,.000272965
EU,43,2,.0024708002
IND,43,2,.000049980354
JPN,43,2,.0037199785
ROW,43,2,.00058099977
USA,43,2,.00014069998
BRA,44,2,.0035569011
CHN,44,2,.0041488679
EU,44,2,.020731403
IND,44,2,.000049980354
JPN,44,2,.0080965357
ROW,44,2,.0034112989
USA,44,2,.00014419999
BRA,1,3,.00066479651
CHN,1,3,.0017577149
EU,1,3,.0024850587
IND,1,3,.0019504698
JPN,1,3,.00099249976
ROW,1,3,.0020038001
USA,1,3,.00048576805
BRA,2,3,.000049999737
CHN,2,3,.000049997579
EU,2,3,.000049999169
IND,2,3,.000049996663
JPN,2,3,.00019629995
ROW,2,3,.00010120001
USA,2,3,.00004999671
BRA,3,3,.092924118
CHN,3,3,.19340785
EU,3,3,.078435101
IND,3,3,.0020592627
JPN,3,3,.13595317
ROW,3,3,.40923285
USA,3,3,.21635497
BRA,4,3,.009719749
CHN,4,3,.0011414447
EU,4,3,.015582342
IND,4,3,.0088791074
JPN,4,3,.00018279995
ROW,4,3,.014323601
USA,4,3,.0048130834
BRA,5,3,.040633086
CHN,5,3,.071394041
EU,5,3,.12836507
IND,5,3,.22897071
JPN,5,3,.024300994
ROW,5,3,.12643762
USA,5,3,.042898376
BRA,6,3,.006685765
CHN,6,3,.0041292002
EU,6,3,.0032503463
IND,6,3,.012172287
JPN,6,3,.004395199
ROW,6,3,.0014367001
USA,6,3,.00062115915
BRA,7,3,.002850485
CHN,7,3,.016235914
EU,7,3,.0020045666
IND,7,3,.021260181
JPN,7,3,.004536699
ROW,7,3,.0016833002
USA,7,3,.00035517663
BRA,8,3,.00011919937
CHN,8,3,.018680597
EU,8,3,.0034085435
IND,8,3,.03098893
JPN,8,3,.00080119981
ROW,8,3,.00033870002
USA,8,3,.00036087626
BRA,9,3,.00091329525
CHN,9,3,.0003679822
EU,9,3,.0017728707
IND,9,3,.0017920804
JPN,9,3,.0062101986
ROW,9,3,.00087210012
USA,9,3,.00095773698
BRA,10,3,.042351477
CHN,10,3,.015060271
EU,10,3,.0098670358
IND,10,3,.058233012
JPN,10,3,.020381294
ROW,10,3,.053030409
USA,10,3,.026310269
BRA,11,3,.075457603
CHN,11,3,.059227534
EU,11,3,.015883438
IND,11,3,.13217738
JPN,11,3,.0063199988
ROW,11,3,.010602101
USA,11,3,.04743078
BRA,12,3,.0044438769
CHN,12,3,.0008926568
EU,12,3,.0015753739
IND,12,3,.0097067514
JPN,12,3,.0016705997
ROW,12,3,.00034200004
USA,12,3,.00031907903
BRA,13,3,.0021172888
CHN,13,3,.0048288661
EU,13,3,.0065828911
IND,13,3,.0037998464
JPN,13,3,.010195998
ROW,13,3,.0036113004
USA,13,3,.002947906
BRA,14,3,.0012133936
CHN,14,3,.0037495187
EU,14,3,.0037645376
IND,14,3,.0018888739
JPN,14,3,.015406797
