iso_o,iso_d,indcode,AHS_simple
BRA,ROW,21,.034764055
CHN,ROW,21,.074892052
EU,ROW,21,.036428872
IND,ROW,21,.063930571
JPN,ROW,21,.05301021
ROW,ROW,21,0
USA,ROW,21,.06753473
BRA,USA,21,.015740741
CHN,USA,21,.019592157
EU,USA,21,.017865438
IND,USA,21,.019921428
JPN,USA,21,.02019785
ROW,USA,21,.0086356523
USA,USA,21,0
BRA,BRA,22,0
CHN,BRA,22,.16704382
EU,BRA,22,.16289957
IND,BRA,22,.16839497
JPN,BRA,22,.1454013
ROW,BRA,22,.14302425
USA,BRA,22,.1584287
BRA,CHN,22,.092206806
CHN,CHN,22,0
EU,CHN,22,.10138002
IND,CHN,22,.094364844
JPN,CHN,22,.1031708
ROW,CHN,22,.062889278
USA,CHN,22,.10060633
BRA,EU,22,.037496381
CHN,EU,22,.036188006
EU,EU,22,0
IND,EU,22,.01925613
JPN,EU,22,.036465187
ROW,EU,22,.015396854
USA,EU,22,.035940148
BRA,IND,22,.081572816
CHN,IND,22,.085395686
EU,IND,22,.086580656
IND,IND,22,0
JPN,IND,22,.032735676
ROW,IND,22,.054643985
USA,IND,22,.086281374
BRA,JPN,22,.020072287
CHN,JPN,22,.014576274
EU,JPN,22,.02063651
IND,JPN,22,.0027540263
JPN,JPN,22,0
ROW,JPN,22,.0096240565
USA,JPN,22,.020221226
BRA,ROW,22,.034014065
CHN,ROW,22,.063295059
EU,ROW,22,.030898264
IND,ROW,22,.057695717
JPN,ROW,22,.045143463
ROW,ROW,22,0
USA,ROW,22,.057972379
BRA,USA,22,.031184459
CHN,USA,22,.029837735
EU,USA,22,.029188924
IND,USA,22,.031385645
JPN,USA,22,.030262761
ROW,USA,22,.015586425
USA,USA,22,0
BRA,BRA,23,0
CHN,BRA,23,0
EU,BRA,23,0
IND,BRA,23,0
JPN,BRA,23,0
ROW,BRA,23,0
USA,BRA,23,0
BRA,CHN,23,0
CHN,CHN,23,0
EU,CHN,23,0
IND,CHN,23,0
JPN,CHN,23,0
ROW,CHN,23,0
USA,CHN,23,0
BRA,EU,23,0
CHN,EU,23,0
EU,EU,23,0
IND,EU,23,0
JPN,EU,23,0
ROW,EU,23,0
USA,EU,23,0
BRA,IND,23,0
CHN,IND,23,0
EU,IND,23,0
IND,IND,23,0
JPN,IND,23,0
ROW,IND,23,0
USA,IND,23,0
BRA,JPN,23,0
CHN,JPN,23,0
EU,JPN,23,0
IND,JPN,23,0
JPN,JPN,23,0
ROW,JPN,23,0
USA,JPN,23,0
BRA,ROW,23,0
CHN,ROW,23,0
EU,ROW,23,0
IND,ROW,23,0
JPN,ROW,23,0
ROW,ROW,23,0
USA,ROW,23,0
BRA,USA,23,0
CHN,USA,23,0
EU,USA,23,0
IND,USA,23,0
JPN,USA,23,0
ROW,USA,23,0
USA,USA,23,0
BRA,BRA,24,0
CHN,BRA,24,0
EU,BRA,24,0
IND,BRA,24,0
JPN,BRA,24,0
ROW,BRA,24,0
USA,BRA,24,0
BRA,CHN,24,0
CHN,CHN,24,0
EU,CHN,24,0
IND,CHN,24,0
JPN,CHN,24,0
ROW,CHN,24,0
USA,CHN,24,0
BRA,EU,24,0
CHN,EU,24,0
EU,EU,24,0
IND,EU,24,0
JPN,EU,24,0
ROW,EU,24,0
USA,EU,24,0
BRA,IND,24,0
CHN,IND,24,0
EU,IND,24,0
IND,IND,24,0
JPN,IND,24,0
ROW,IND,24,0
USA,IND,24,0
BRA,JPN,24,0
CHN,JPN,24,0
EU,JPN,24,0
IND,JPN,24,0
JPN,JPN,24,0
ROW,JPN,24,0
USA,JPN,24,0
BRA,ROW,24,0
CHN,ROW,24,0
EU,ROW,24,0
IND,ROW,24,0
JPN,ROW,24,0
ROW,ROW,24,0
USA,ROW,24,0
BRA,USA,24,0
CHN,USA,24,0
EU,USA,24,0
IND,USA,24,0
JPN,USA,24,0
ROW,USA,24,0
USA,USA,24,0
BRA,BRA,25,0
CHN,BRA,25,0
EU,BRA,25,0
IND,BRA,25,0
JPN,BRA,25,0
ROW,BRA,25,0
USA,BRA,25,0
BRA,CHN,25,0
CHN,CHN,25,0
EU,CHN,25,0
IND,CHN,25,0
JPN,CHN,25,0
ROW,CHN,25,0
USA,CHN,25,0
BRA,EU,25,0
CHN,EU,25,0
EU,EU,25,0
IND,EU,25,0
JPN,EU,25,0
ROW,EU,25,0
USA,EU,25,0
BRA,IND,25,0
CHN,IND,25,0
EU,IND,25,0
IND,IND,25,0
JPN,IND,25,0
ROW,IND,25,0
USA,IND,25,0
BRA,JPN,25,0
CHN,JPN,25,0
EU,JPN,25,0
IND,JPN,25,0
JPN,JPN,25,0
ROW,JPN,25,0
USA,JPN,25,0
BRA,ROW,25,0
CHN,ROW,25,0
EU,ROW,25,0
IND,ROW,25,0
JPN,ROW,25,0
ROW,ROW,25,0
USA,ROW,25,0
BRA,USA,25,0
CHN,USA,25,0
EU,USA,25,0
IND,USA,25,0
JPN,USA,25,0
ROW,USA,25,0
USA,USA,25,0
BRA,BRA,26,0
CHN,BRA,26,0
EU,BRA,26,0
IND,BRA,26,0
JPN,BRA,26,0
ROW,BRA,26,0
USA,BRA,26,0
BRA,CHN,26,0
CHN,CHN,26,0
EU,CHN,26,0
IND,CHN,26,0
JPN,CHN,26,0
ROW,CHN,26,0
USA,CHN,26,0
BRA,EU,26,0
CHN,EU,26,0
EU,EU,26,0
IND,EU,26,0
JPN,EU,26,0
ROW,EU,26,0
USA,EU,26,0
BRA,IND,26,0
CHN,IND,26,0
EU,IND,26,0
IND,IND,26,0
JPN,IND,26,0
ROW,IND,26,0
USA,IND,26,0
BRA,JPN,26,0
CHN,JPN,26,0
EU,JPN,26,0
IND,JPN,26,0
JPN,JPN,26,0
ROW,JPN,26,0
USA,JPN,26,0
BRA,ROW,26,0
CHN,ROW,26,0
EU,ROW,26,0
IND,ROW,26,0
JPN,ROW,26,0
ROW,ROW,26,0
USA,ROW,26,0
BRA,USA,26,0
CHN,USA,26,0
EU,USA,26,0
IND,USA,26,0
JPN,USA,26,0
ROW,USA,26,0
USA,USA,26,0
BRA,BRA,27,0
CHN,BRA,27,0
EU,BRA,27,0
IND,BRA,27,0
JPN,BRA,27,0
ROW,BRA,27,0
USA,BRA,27,0
BRA,CHN,27,0
CHN,CHN,27,0
EU,CHN,27,0
IND,CHN,27,0
JPN,CHN,27,0
ROW,CHN,27,0
USA,CHN,27,0
BRA,EU,27,0
CHN,EU,27,0
EU,EU,27,0
IND,EU,27,0
JPN,EU,27,0
ROW,EU,27,0
USA,EU,27,0
BRA,IND,27,0
CHN,IND,27,0
EU,IND,27,0
IND,IND,27,0
JPN,IND,27,0
ROW,IND,27,0
USA,IND,27,0
BRA,JPN,27,0
CHN,JPN,27,0
EU,JPN,27,0
IND,JPN,27,0
JPN,JPN,27,0
ROW,JPN,27,0
USA,JPN,27,0
BRA,ROW,27,0
CHN,ROW,27,0
EU,ROW,27,0
IND,ROW,27,0
JPN,ROW,27,0
ROW,ROW,27,0
USA,ROW,27,0
BRA,USA,27,0
CHN,USA,27,0
EU,USA,27,0
IND,USA,27,0
JPN,USA,27,0
ROW,USA,27,0
USA,USA,27,0
BRA,BRA,28,0
CHN,BRA,28,0
EU,BRA,28,0
IND,BRA,28,0
JPN,BRA,28,0
ROW,BRA,28,0
USA,BRA,28,0
BRA,CHN,28,0
CHN,CHN,28,0
EU,CHN,28,0
IND,CHN,28,0
JPN,CHN,28,0
ROW,CHN,28,0
USA,CHN,28,0
BRA,EU,28,0
CHN,EU,28,0
EU,EU,28,0
IND,EU,28,0
JPN,EU,28,0
ROW,EU,28,0
USA,EU,28,0
BRA,IND,28,0
CHN,IND,28,0
EU,IND,28,0
IND,IND,28,0
JPN,IND,28,0
ROW,IND,28,0
USA,IND,28,0
BRA,JPN,28,0
CHN,JPN,28,0
EU,JPN,28,0
IND,JPN,28,0
JPN,JPN,28,0
ROW,JPN,28,0
USA,JPN,28,0
BRA,ROW,28,0
CHN,ROW,28,0
EU,ROW,28,0
IND,ROW,28,0
JPN,ROW,28,0
ROW,ROW,28,0
USA,ROW,28,0
BRA,USA,28,0
CHN,USA,28,0
EU,USA,28,0
IND,USA,28,0
JPN,USA,28,0
ROW,USA,28,0
USA,USA,28,0
BRA,BRA,29,0
CHN,BRA,29,0
EU,BRA,29,0
IND,BRA,29,0
JPN,BRA,29,0
ROW,BRA,29,0
USA,BRA,29,0
BRA,CHN,29,0
CHN,CHN,29,0
EU,CHN,29,0
IND,CHN,29,0
JPN,CHN,29,0
ROW,CHN,29,0
USA,CHN,29,0
BRA,EU,29,0
CHN,EU,29,0
EU,EU,29,0
IND,EU,29,0
JPN,EU,29,0
ROW,EU,29,0
USA,EU,29,0
BRA,IND,29,0
CHN,IND,29,0
EU,IND,29,0
IND,IND,29,0
JPN,IND,29,0
ROW,IND,29,0
USA,IND,29,0
BRA,JPN,29,0
CHN,JPN,29,0
EU,JPN,29,0
IND,JPN,29,0
JPN,JPN,29,0
ROW,JPN,29,0
USA,JPN,29,0
BRA,ROW,29,0
CHN,ROW,29,0
EU,ROW,29,0
IND,ROW,29,0
JPN,ROW,29,0
ROW,ROW,29,0
USA,ROW,29,0
BRA,USA,29,0
CHN,USA,29,0
EU,USA,29,0
IND,USA,29,0
JPN,USA,29,0
ROW,USA,29,0
USA,USA,29,0
BRA,BRA,30,0
CHN,BRA,30,0
EU,BRA,30,0
IND,BRA,30,0
JPN,BRA,30,0
ROW,BRA,30,0
USA,BRA,30,0
BRA,CHN,30,0
CHN,CHN,30,0
EU,CHN,30,0
IND,CHN,30,0
JPN,CHN,30,0
ROW,CHN,30,0
USA,CHN,30,0
BRA,EU,30,0
CHN,EU,30,0
EU,EU,30,0
IND,EU,30,0
JPN,EU,30,0
ROW,EU,30,0
USA,EU,30,0
BRA,IND,30,0
CHN,IND,30,0
EU,IND,30,0
IND,IND,30,0
JPN,IND,30,0
ROW,IND,30,0
USA,IND,30,0
BRA,JPN,30,0
CHN,JPN,30,0
EU,JPN,30,0
IND,JPN,30,0
JPN,JPN,30,0
ROW,JPN,30,0
USA,JPN,30,0
BRA,ROW,30,0
CHN,ROW,30,0
EU,ROW,30,0
IND,ROW,30,0
JPN,ROW,30,0
ROW,ROW,30,0
USA,ROW,30,0
BRA,USA,30,0
CHN,USA,30,0
EU,USA,30,0
IND,USA,30,0
JPN,USA,30,0
ROW,USA,30,0
USA,USA,30,0
BRA,BRA,31,0
CHN,BRA,31,0
EU,BRA,31,0
IND,BRA,31,0
JPN,BRA,31,0
ROW,BRA,31,0
USA,BRA,31,0
BRA,CHN,31,0
CHN,CHN,31,0
EU,CHN,31,0
IND,CHN,31,0
JPN,CHN,31,0
ROW,CHN,31,0
USA,CHN,31,0
BRA,EU,31,0
CHN,EU,31,0
EU,EU,31,0
IND,EU,31,0
JPN,EU,31,0
ROW,EU,31,0
USA,EU,31,0
BRA,IND,31,0
CHN,IND,31,0
EU,IND,31,0
IND,IND,31,0
JPN,IND,31,0
ROW,IND,31,0
USA,IND,31,0
BRA,JPN,31,0
CHN,JPN,31,0
EU,JPN,31,0
IND,JPN,31,0
JPN,JPN,31,0
ROW,JPN,31,0
USA,JPN,31,0
BRA,ROW,31,0
CHN,ROW,31,0
EU,ROW,31,0
IND,ROW,31,0
JPN,ROW,31,0
ROW,ROW,31,0
USA,ROW,31,0
BRA,USA,31,0
CHN,USA,31,0
EU,USA,31,0
IND,USA,31,0
JPN,USA,31,0
ROW,USA,31,0
USA,USA,31,0
BRA,BRA,32,0
CHN,BRA,32,0
EU,BRA,32,0
IND,BRA,32,0
JPN,BRA,32,0
ROW,BRA,32,0
USA,BRA,32,0
BRA,CHN,32,0
CHN,CHN,32,0
EU,CHN,32,0
IND,CHN,32,0
JPN,CHN,32,0
ROW,CHN,32,0
USA,CHN,32,0
BRA,EU,32,0
CHN,EU,32,0
EU,EU,32,0
IND,EU,32,0
JPN,EU,32,0
ROW,EU,32,0
USA,EU,32,0
BRA,IND,32,0
CHN,IND,32,0
EU,IND,32,0
IND,IND,32,0
JPN,IND,32,0
ROW,IND,32,0
USA,IND,32,0
BRA,JPN,32,0
CHN,JPN,32,0
EU,JPN,32,0
IND,JPN,32,0
JPN,JPN,32,0
ROW,JPN,32,0
USA,JPN,32,0
BRA,ROW,32,0
CHN,ROW,32,0
EU,ROW,32,0
IND,ROW,32,0
JPN,ROW,32,0
ROW,ROW,32,0
USA,ROW,32,0
BRA,USA,32,0
CHN,USA,32,0
EU,USA,32,0
IND,USA,32,0
JPN,USA,32,0
ROW,USA,32,0
USA,USA,32,0
BRA,BRA,33,0
CHN,BRA,33,0
EU,BRA,33,0
IND,BRA,33,0
JPN,BRA,33,0
ROW,BRA,33,0
USA,BRA,33,0
BRA,CHN,33,0
CHN,CHN,33,0
EU,CHN,33,0
IND,CHN,33,0
JPN,CHN,33,0
ROW,CHN,33,0
USA,CHN,33,0
BRA,EU,33,0
CHN,EU,33,0
EU,EU,33,0
IND,EU,33,0
JPN,EU,33,0
ROW,EU,33,0
USA,EU,33,0
BRA,IND,33,0
CHN,IND,33,0
EU,IND,33,0
IND,IND,33,0
JPN,IND,33,0
ROW,IND,33,0
USA,IND,33,0
BRA,JPN,33,0
CHN,JPN,33,0
EU,JPN,33,0
IND,JPN,33,0
JPN,JPN,33,0
ROW,JPN,33,0
USA,JPN,33,0
BRA,ROW,33,0
CHN,ROW,33,0
EU,ROW,33,0
IND,ROW,33,0
JPN,ROW,33,0
ROW,ROW,33,0
USA,ROW,33,0
BRA,USA,33,0
CHN,USA,33,0
EU,USA,33,0
IND,USA,33,0
JPN,USA,33,0
ROW,USA,33,0
USA,USA,33,0
BRA,BRA,34,0
CHN,BRA,34,0
EU,BRA,34,0
IND,BRA,34,0
JPN,BRA,34,0
ROW,BRA,34,0
USA,BRA,34,0
BRA,CHN,34,0
CHN,CHN,34,0
EU,CHN,34,0
IND,CHN,34,0
JPN,CHN,34,0
ROW,CHN,34,0
USA,CHN,34,0
BRA,EU,34,0
CHN,EU,34,0
EU,EU,34,0
IND,EU,34,0
JPN,EU,34,0
ROW,EU,34,0
USA,EU,34,0
BRA,IND,34,0
CHN,IND,34,0
EU,IND,34,0
IND,IND,34,0
JPN,IND,34,0
ROW,IND,34,0
USA,IND,34,0
BRA,JPN,34,0
CHN,JPN,34,0
EU,JPN,34,0
IND,JPN,34,0
JPN,JPN,34,0
ROW,JPN,34,0
USA,JPN,34,0
BRA,ROW,34,0
CHN,ROW,34,0
EU,ROW,34,0
IND,ROW,34,0
JPN,ROW,34,0
ROW,ROW,34,0
USA,ROW,34,0
BRA,USA,34,0
CHN,USA,34,0
EU,USA,34,0
IND,USA,34,0
JPN,USA,34,0
ROW,USA,34,0
USA,USA,34,0
BRA,BRA,35,0
CHN,BRA,35,0
EU,BRA,35,0
IND,BRA,35,0
JPN,BRA,35,0
ROW,BRA,35,0
USA,BRA,35,0
BRA,CHN,35,0
CHN,CHN,35,0
EU,CHN,35,0
IND,CHN,35,0
JPN,CHN,35,0
ROW,CHN,35,0
USA,CHN,35,0
BRA,EU,35,0
CHN,EU,35,0
EU,EU,35,0
IND,EU,35,0
JPN,EU,35,0
ROW,EU,35,0
USA,EU,35,0
BRA,IND,35,0
CHN,IND,35,0
EU,IND,35,0
IND,IND,35,0
JPN,IND,35,0
ROW,IND,35,0
USA,IND,35,0
BRA,JPN,35,0
CHN,JPN,35,0
EU,JPN,35,0
IND,JPN,35,0
JPN,JPN,35,0
ROW,JPN,35,0
USA,JPN,35,0
BRA,ROW,35,0
CHN,ROW,35,0
EU,ROW,35,0
IND,ROW,35,0
JPN,ROW,35,0
ROW,ROW,35,0
USA,ROW,35,0
BRA,USA,35,0
CHN,USA,35,0
EU,USA,35,0
IND,USA,35,0
JPN,USA,35,0
ROW,USA,35,0
USA,USA,35,0
BRA,BRA,36,0
CHN,BRA,36,0
EU,BRA,36,0
IND,BRA,36,0
JPN,BRA,36,0
ROW,BRA,36,0
USA,BRA,36,0
BRA,CHN,36,0
CHN,CHN,36,0
EU,CHN,36,0
IND,CHN,36,0
JPN,CHN,36,0
ROW,CHN,36,0
USA,CHN,36,0
BRA,EU,36,0
CHN,EU,36,0
EU,EU,36,0
IND,EU,36,0
JPN,EU,36,0
ROW,EU,36,0
USA,EU,36,0
BRA,IND,36,0
CHN,IND,36,0
EU,IND,36,0
IND,IND,36,0
JPN,IND,36,0
ROW,IND,36,0
USA,IND,36,0
BRA,JPN,36,0
CHN,JPN,36,0
EU,JPN,36,0
IND,JPN,36,0
JPN,JPN,36,0
ROW,JPN,36,0
USA,JPN,36,0
BRA,ROW,36,0
CHN,ROW,36,0
EU,ROW,36,0
IND,ROW,36,0
JPN,ROW,36,0
ROW,ROW,36,0
USA,ROW,36,0
BRA,USA,36,0
CHN,USA,36,0
EU,USA,36,0
IND,USA,36,0
JPN,USA,36,0
ROW,USA,36,0
USA,USA,36,0
BRA,BRA,37,0
CHN,BRA,37,0
EU,BRA,37,0
IND,BRA,37,0
JPN,BRA,37,0
ROW,BRA,37,0
USA,BRA,37,0
BRA,CHN,37,0
CHN,CHN,37,0
EU,CHN,37,0
IND,CHN,37,0
JPN,CHN,37,0
ROW,CHN,37,0
USA,CHN,37,0
BRA,EU,37,0
CHN,EU,37,0
EU,EU,37,0
IND,EU,37,0
JPN,EU,37,0
ROW,EU,37,0
USA,EU,37,0
BRA,IND,37,0
CHN,IND,37,0
EU,IND,37,0
IND,IND,37,0
JPN,IND,37,0
ROW,IND,37,0
USA,IND,37,0
BRA,JPN,37,0
CHN,JPN,37,0
EU,JPN,37,0
IND,JPN,37,0
JPN,JPN,37,0
ROW,JPN,37,0
USA,JPN,37,0
BRA,ROW,37,0
CHN,ROW,37,0
EU,ROW,37,0
IND,ROW,37,0
JPN,ROW,37,0
ROW,ROW,37,0
USA,ROW,37,0
BRA,USA,37,0
CHN,USA,37,0
EU,USA,37,0
IND,USA,37,0
JPN,USA,37,0
ROW,USA,37,0
USA,USA,37,0
BRA,BRA,38,0
CHN,BRA,38,0
EU,BRA,38,0
IND,BRA,38,0
JPN,BRA,38,0
ROW,BRA,38,0
USA,BRA,38,0
BRA,CHN,38,0
CHN,CHN,38,0
EU,CHN,38,0
IND,CHN,38,0
JPN,CHN,38,0
ROW,CHN,38,0
USA,CHN,38,0
BRA,EU,38,0
CHN,EU,38,0
EU,EU,38,0
IND,EU,38,0
JPN,EU,38,0
ROW,EU,38,0
USA,EU,38,0
BRA,IND,38,0
CHN,IND,38,0
EU,IND,38,0
IND,IND,38,0
JPN,IND,38,0
ROW,IND,38,0
USA,IND,38,0
BRA,JPN,38,0
CHN,JPN,38,0
EU,JPN,38,0
IND,JPN,38,0
JPN,JPN,38,0
ROW,JPN,38,0
USA,JPN,38,0
BRA,ROW,38,0
CHN,ROW,38,0
EU,ROW,38,0
IND,ROW,38,0
JPN,ROW,38,0
ROW,ROW,38,0
USA,ROW,38,0
BRA,USA,38,0
CHN,USA,38,0
EU,USA,38,0
IND,USA,38,0
JPN,USA,38,0
ROW,USA,38,0
USA,USA,38,0
BRA,BRA,39,0
CHN,BRA,39,0
EU,BRA,39,0
IND,BRA,39,0
JPN,BRA,39,0
ROW,BRA,39,0
USA,BRA,39,0
BRA,CHN,39,0
CHN,CHN,39,0
EU,CHN,39,0
IND,CHN,39,0
JPN,CHN,39,0
ROW,CHN,39,0
USA,CHN,39,0
BRA,EU,39,0
CHN,EU,39,0
EU,EU,39,0
IND,EU,39,0
JPN,EU,39,0
ROW,EU,39,0
USA,EU,39,0
BRA,IND,39,0
CHN,IND,39,0
EU,IND,39,0
IND,IND,39,0
JPN,IND,39,0
ROW,IND,39,0
USA,IND,39,0
BRA,JPN,39,0
CHN,JPN,39,0
EU,JPN,39,0
IND,JPN,39,0
JPN,JPN,39,0
ROW,JPN,39,0
USA,JPN,39,0
BRA,ROW,39,0
CHN,ROW,39,0
EU,ROW,39,0
IND,ROW,39,0
JPN,ROW,39,0
ROW,ROW,39,0
USA,ROW,39,0
BRA,USA,39,0
CHN,USA,39,0
EU,USA,39,0
IND,USA,39,0
JPN,USA,39,0
ROW,USA,39,0
USA,USA,39,0
BRA,BRA,40,0
CHN,BRA,40,0
EU,BRA,40,0
IND,BRA,40,0
JPN,BRA,40,0
ROW,BRA,40,0
USA,BRA,40,0
BRA,CHN,40,0
CHN,CHN,40,0
EU,CHN,40,0
IND,CHN,40,0
JPN,CHN,40,0
ROW,CHN,40,0
USA,CHN,40,0
BRA,EU,40,0
CHN,EU,40,0
EU,EU,40,0
IND,EU,40,0
JPN,EU,40,0
ROW,EU,40,0
USA,EU,40,0
BRA,IND,40,0
CHN,IND,40,0
EU,IND,40,0
IND,IND,40,0
JPN,IND,40,0
ROW,IND,40,0
USA,IND,40,0
BRA,JPN,40,0
CHN,JPN,40,0
EU,JPN,40,0
IND,JPN,40,0
JPN,JPN,40,0
ROW,JPN,40,0
USA,JPN,40,0
BRA,ROW,40,0
CHN,ROW,40,0
EU,ROW,40,0
IND,ROW,40,0
JPN,ROW,40,0
ROW,ROW,40,0
USA,ROW,40,0
BRA,USA,40,0
CHN,USA,40,0
EU,USA,40,0
IND,USA,40,0
JPN,USA,40,0
ROW,USA,40,0
USA,USA,40,0
BRA,BRA,41,0
CHN,BRA,41,0
EU,BRA,41,0
IND,BRA,41,0
JPN,BRA,41,0
ROW,BRA,41,0
USA,BRA,41,0
BRA,CHN,41,0
CHN,CHN,41,0
EU,CHN,41,0
IND,CHN,41,0
JPN,CHN,41,0
ROW,CHN,41,0
USA,CHN,41,0
BRA,EU,41,0
CHN,EU,41,0
EU,EU,41,0
IND,EU,41,0
JPN,EU,41,0
ROW,EU,41,0
USA,EU,41,0
BRA,IND,41,0
CHN,IND,41,0
EU,IND,41,0
IND,IND,41,0
JPN,IND,41,0
ROW,IND,41,0
USA,IND,41,0
BRA,JPN,41,0
CHN,JPN,41,0
EU,JPN,41,0
IND,JPN,41,0
JPN,JPN,41,0
ROW,JPN,41,0
USA,JPN,41,0
BRA,ROW,41,0
CHN,ROW,41,0
EU,ROW,41,0
IND,ROW,41,0
JPN,ROW,41,0
ROW,ROW,41,0
USA,ROW,41,0
BRA,USA,41,0
CHN,USA,41,0
EU,USA,41,0
IND,USA,41,0
JPN,USA,41,0
ROW,USA,41,0
USA,USA,41,0
BRA,BRA,42,0
CHN,BRA,42,0
EU,BRA,42,0
IND,BRA,42,0
JPN,BRA,42,0
ROW,BRA,42,0
USA,BRA,42,0
BRA,CHN,42,0
CHN,CHN,42,0
EU,CHN,42,0
IND,CHN,42,0
JPN,CHN,42,0
ROW,CHN,42,0
USA,CHN,42,0
BRA,EU,42,0
CHN,EU,42,0
EU,EU,42,0
IND,EU,42,0
JPN,EU,42,0
ROW,EU,42,0
USA,EU,42,0
BRA,IND,42,0
CHN,IND,42,0
EU,IND,42,0
IND,IND,42,0
JPN,IND,42,0
ROW,IND,42,0
USA,IND,42,0
BRA,JPN,42,0
CHN,JPN,42,0
EU,JPN,42,0
IND,JPN,42,0
JPN,JPN,42,0
ROW,JPN,42,0
USA,JPN,42,0
BRA,ROW,42,0
CHN,ROW,42,0
EU,ROW,42,0
IND,ROW,42,0
JPN,ROW,42,0
ROW,ROW,42,0
USA,ROW,42,0
BRA,USA,42,0
CHN,USA,42,0
EU,USA,42,0
IND,USA,42,0
JPN,USA,42,0
ROW,USA,42,0
USA,USA,42,0
BRA,BRA,43,0
CHN,BRA,43,0
EU,BRA,43,0
IND,BRA,43,0
JPN,BRA,43,0
ROW,BRA,43,0
USA,BRA,43,0
BRA,CHN,43,0
CHN,CHN,43,0
EU,CHN,43,0
IND,CHN,43,0
JPN,CHN,43,0
ROW,CHN,43,0
USA,CHN,43,0
BRA,EU,43,0
CHN,EU,43,0
EU,EU,43,0
IND,EU,43,0
JPN,EU,43,0
ROW,EU,43,0
USA,EU,43,0
BRA,IND,43,0
CHN,IND,43,0
EU,IND,43,0
IND,IND,43,0
JPN,IND,43,0
ROW,IND,43,0
USA,IND,43,0
BRA,JPN,43,0
CHN,JPN,43,0
EU,JPN,43,0
IND,JPN,43,0
JPN,JPN,43,0
ROW,JPN,43,0
USA,JPN,43,0
BRA,ROW,43,0
CHN,ROW,43,0
EU,ROW,43,0
IND,ROW,43,0
JPN,ROW,43,0
ROW,ROW,43,0
USA,ROW,43,0
BRA,USA,43,0
CHN,USA,43,0
EU,USA,43,0
IND,USA,43,0
JPN,USA,43,0
ROW,USA,43,0
USA,USA,43,0
BRA,BRA,44,0
CHN,BRA,44,0
EU,BRA,44,0
IND,BRA,44,0
JPN,BRA,44,0
ROW,BRA,44,0
USA,BRA,44,0
BRA,CHN,44,0
CHN,CHN,44,0
EU,CHN,44,0
IND,CHN,44,0
JPN,CHN,44,0
ROW,CHN,44,0
USA,CHN,44,0
BRA,EU,44,0
CHN,EU,44,0
EU,EU,44,0
IND,EU,44,0
JPN,EU,44,0
ROW,EU,44,0
USA,EU,44,0
BRA,IND,44,0
CHN,IND,44,0
EU,IND,44,0
IND,IND,44,0
JPN,IND,44,0
ROW,IND,44,0
USA,IND,44,0
BRA,JPN,44,0
CHN,JPN,44,0
EU,JPN,44,0
IND,JPN,44,0
JPN,JPN,44,0
ROW,JPN,44,0
USA,JPN,44,0
BRA,ROW,44,0
CHN,ROW,44,0
EU,ROW,44,0
IND,ROW,44,0
JPN,ROW,44,0
ROW,ROW,44,0
USA,ROW,44,0
BRA,USA,44,0
CHN,USA,44,0
EU,USA,44,0
IND,USA,44,0
JPN,USA,44,0
ROW,USA,44,0
USA,USA,44,0
